Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Brinc,https://www.crunchbase.com/organization/brinc-io,"Agriculture, Artificial Intelligence (AI), Blockchain, Clean Energy, Food and Beverage, Gaming, Health Care, Nutrition, Sustainability, Web3","Central, Hong Kong Island, Hong Kong",Brinc is a venture capital and accelerator firm that empowers game changers to help solve some of the world's biggest challenges.,,2014-01-01,year,242,7,6,"Bashar Aboudaoud, Bay McLaughlin, Manav Gupta",51-100,Early Stage Venture,2021-12-14,Series B,,,,,,,,,,Private,,,,,,"Engineering, Management, Operations",21
Bluepoint Partners,https://www.crunchbase.com/organization/bluepoint-partners-2,"Artificial Intelligence (AI), Augmented Reality, Biopharma, Biotechnology, Energy, Health Care, Internet of Things, Venture Capital, Virtual Reality","Daejeon, Taejon-jikhalsi, South Korea",a hands-on partner for innovative team technology with worldwide impact,,2013-07-01,day,124,,,KiHyun Hong,51-100,,2020-02-10,Venture - Series Unknown,,,,,,,,,,Private,,,,,,Information Technology,6
Qure AI,https://www.crunchbase.com/organization/qure-ai,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Mumbai, Maharashtra, India",Qure AI is an artificial intelligence solution company that provides automated interpretation of radiology exams and ultrasounds scans.,,2016-01-01,year,,,,"Pooja Rao, Prashant Warier",251-500,Late Stage Venture,2022-03-30,Series C,,,,,,,,,,Private,,,,,,"Engineering, Human Resources, Information Technology, Management, Operations, Product",61
Lunit,https://www.crunchbase.com/organization/lunit-inc,"Artificial Intelligence (AI), Computer Vision, Health Diagnostics, Image Recognition, Machine Learning, Medical Device, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Lunit is a medical technology company that specializes in developing and providing AI-powered medical imaging solutions.,,2013-01-01,year,,,,"Anthony Paek, Donggeun Yoo, Jungin Lee, Kyunghyun Paeng, Minhong Jang, Sunggyun Park",251-500,IPO,2023-11-15,Post-IPO Equity,,,,,,,,,,Public,2022-07-22,,,,,"Engineering, Human Resources, Operations, Pro Services, Product, Sales",29
HealthPlix,https://www.crunchbase.com/organization/healthplix,"Artificial Intelligence (AI), Health Care, Internet, mHealth","Bangalore, Karnataka, India",HealthPlix is a digital health platform that uses AI technologies to support clinical decisions.,,2014-01-01,year,,,,"Raghuraj Sunder Raju, Sandeep Gudibanda",251-500,Late Stage Venture,2023-03-15,Series C,,,,,,,,,,Private,,,,,,"Engineering, Management, Marketing, Medical & Science, Operations, Pro Services, Sales",19
Holmusk,https://www.crunchbase.com/organization/holmusk,"Analytics, Artificial Intelligence (AI), Big Data, Electronic Health Record (EHR), Health Care","Singapore, Central Region, Singapore",Holmusk is a provider of healthcare data and technology solutions to support the treatment of mental health and chronic diseases.,,2015-01-01,year,,,,Nawal Roy,101-250,,2023-10-12,Venture - Series Unknown,,,,,,,,,,Private,,,,2023-11-08,,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Medical & Science, Operations, Pro Services, Product, Sales",58
Dozee,https://www.crunchbase.com/organization/dozee,"Artificial Intelligence (AI), Health Care, Wellness","Bengaluru, Karnataka, India",Dozee develops a contactless remote patient monitoring and early warning system powered by AI.,,2015-10-08,day,,,,"Gaurav Parchani, Mudit Dandwate",101-250,Early Stage Venture,2023-04-04,Series A,,,,,,,,,,Private,,,,,,"Engineering, Human Resources, Operations",13
mfine,https://www.crunchbase.com/organization/mfine,"Apps, Artificial Intelligence (AI), Health Care, Hospital, Medical","Bengaluru, Karnataka, India",Mfine is a health-tech startup developing an AI-powered telemedicine mobile app.,,2017-01-01,year,,,,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli",251-500,Late Stage Venture,2021-08-31,Series C,,,,,,,,,,Private,,,,,2022-05-24,"Human Resources, Information Technology, Operations",17
Zebra Medical Vision,https://www.crunchbase.com/organization/zebra-medical-vision,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical","Shefayim, HaMerkaz, Israel",Zebra Medical Vision is a medical imaging and analytics platform.,,2014-01-01,year,,,,"Elad Benjamin, Eyal Gura",11-50,M&A,2020-10-26,Venture - Series Unknown,Zebra Medical Vision acquired by Nanox Imaging,https://www.crunchbase.com/acquisition/nanox-imaging-acquires-zebra-medical-vision--e8f094a1,Nanox Imaging,https://www.crunchbase.com/organization/nanox-imaging,2021-08-10,day,200000000,USD,200000000,Private,,,,2020-01-15,,Engineering,2
Sweetch,https://www.crunchbase.com/organization/sweetch-2,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Mobile Apps","Tel Aviv-yafo, Tel Aviv, Israel",Sweetch is the first behavioral science company to leverage AI & EI (emotional intelligence) through its digital therapeutics solutions.,,2013-01-01,year,,,,"Dan Lichtenfeld, Dana Chanan, Keren Shavit, Yoni Nevo, Yossi Bahagon",51-100,Early Stage Venture,2021-07-19,Series A,,,,,,,,,,Private,,,,,,"Engineering, Management",9
